Synset('sound.v.02')	1	The kettle was <b>sounding</b>.	blow	bang	bleep	blow	blow	"boom, din"	"boom, boom_out"	"buzz, bombinate, bombilate"	"chatter, click"	chime	chug	"clang, clangor"	"clangor, clangour"	clank	"click, tick"	"clop, clump, clunk, plunk"	crack	crash	drone	"drum, beat, thrum"	glug	guggle	gurgle	"honk, blare, beep, claxon, toot"	"hum, thrum"	"lap, swish, swosh, swoosh"	"make_noise, resound, noise"	"patter, pitter-patter"	ping	"pink, ping, knock"	pop	rattle	"resonate, vibrate"	"resound, echo, ring, reverberate"	"ring, peal"	"ripple, babble, guggle, burble, bubble, gurgle"	roll	"rumble, grumble"	rustle	skirl	"snap, crack"	snarl	"splash, splosh, slosh, slush"	splat	squelch	"tap, rap, knock, pink"	"thud, thump"	"tick, ticktock, ticktack, beat"	ting	"tinkle, tink, clink, chink"	trump	twang	"tweet, twirp"	whish	whistle	"whistle, sing"	"whizz, whiz, whirr, whir, birr, purr"																																																																			
Synset('draw.v.05')		Mud was <b>pulling</b> at her feet.		unsheathe																																																																																																																										
Synset('confuse.v.02')	1	My brain is <b>confused</b> after the bottle of champagne.	puzzle	demoralize	"disorient, disorientate"	"perplex, vex, stick, get, puzzle, mystify, baffle, beat, pose, bewilder, flummox, stupefy, nonplus, gravel, amaze, dumbfound"																																																																																																																								
Synset('experience.v.01')	1	The ex-slave <b>experienced</b> freedom shortly before she died.	enjoy	come	enjoy	feel	"know, experience, live"	"suffer, endure"	"suffer, meet"	"witness, find, see"																																																																																																																				
Synset('tug.v.02')	1	She <b>labored</b> for years to make a decent living.	strive	"strive, reach, strain"																																																																																																																										
Synset('want.v.02')		This piano <b>requires</b> the attention of a competent tuner.		cry																																																																																																																										
Synset('have.v.02')	0	He always <b>has</b> a smile.	bear	"abound, burst, bristle"	bear	brim	bristle	"carry, pack, take"	carry	carry	carry	give_off	"imply, involve"	possess	"read, say"	"sport, feature, boast"	star	"unite, combine"	"wear, bear"	wear	wear																																																																																																									
Synset('bet.v.02')		Which horse are you <b>betting</b> on.		"bet_on, back, gage, stake, game, punt"	play	raise	see																																																																																																																							
Synset('eject.v.01')	0	The ex-boxers job is to <b>eject</b> people who want to enter this private club.	evict	bounce	evict	"evict, force_out"	"exorcise, exorcize"	show_the_door																																																																																																																						
Synset('believe.v.01')	0	I cant <b>believe</b> this story.	trust	believe	believe_in	buy	swallow	"trust, swear, rely, bank"	"understand, infer"																																																																																																																					
Synset('represent.v.09')	0	The painting seems to <b>represent</b> the essence of Spring.	draw	"animalize, animalise"	capture	draw	"graph, chart"	map	"model, mock_up"	paint	"picture, depict, render, show"	"portray, depict, limn"	"portray, present"	profile	"sensualize, carnalize"	silhouette	"stylize, stylise, conventionalize"																																																																																																													
Synset('rejoice.v.01')	1	Make the peoples hearts <b>rejoiced</b>.	cheer up	"cheer, cheer_up, chirk_up"	"exult, walk_on_air, be_on_cloud_nine, jump_for_joy"	gladden																																																																																																																								
Synset('cope.v.01')	0	I cant <b>cope with</b> it anymore.	fend	fend	"hack, cut"	"improvise, extemporize"	"meet, match, cope_with"	"scrape_along, scrape_by, scratch_along, squeak_by, squeeze_by, rub_along"																																																																																																																						
Synset('match.v.01')	0	The colors dont <b>match</b>.	suit	adhere	align	answer	"befit, suit, beseem"	coincide	consist	correlate	"corroborate, underpin, bear_out, support"	"harmonize, harmonise, consort, accord, concord, fit_in, agree"	homologize	look	"meet, fit, conform_to"	parallel	pattern	resemble	"rhyme, rime"	square	"twin, duplicate, parallel"																																																																																																									
Synset('corrupt.v.01')		The society was <b>corrupted</b> by racism.		"bastardize, bastardise"	infect	"lead_off, lead_astray"	poison	"sensualize, sensualise, carnalize, carnalise"	suborn																																																																																																																					
Synset('corrupt.v.01')		You should never <b>corrupt</b> someone's mind.		"bastardize, bastardise"	infect	"lead_off, lead_astray"	poison	"sensualize, sensualise, carnalize, carnalise"	suborn																																																																																																																					
Synset('fudge.v.01')	1	They tried to <b>falsify</b> an account so as to hide a deficit.	juggle	juggle																																																																																																																										
Synset('cheer.v.04')	2	After a glass of wine he <b>cheered</b> up a bit.	rejoice	"exuberate, exult, rejoice, triumph, jubilate"	"lighten, lighten_up, buoy_up"																																																																																																																									
Synset('form.v.01')		They wanted to <b>organize</b> a theater production.		choose_up	draw_up	regiment	"reorganize, reorganise, regroup"	syndicate																																																																																																																						
Synset('mean.v.01')	1	Im afraid this <b>means</b> trouble!	signify	aim	"drive, get, aim"	signify	"spell, import"	"typify, symbolize, symbolise, stand_for, represent"																																																																																																																						
Synset('delight.v.02')	1	You should <b>delight</b> in your success!	have a good time	"have_a_ball, have_a_good_time"	live_it_up	wallow																																																																																																																								
Synset('impair.v.01')		The stroke <b>impaired</b> memories of her youth.																																																																																																																												
Synset('condescend.v.01')		I won't <b>condescend</b> to reading other people's mail.																																																																																																																												
Synset('top.v.03')		A weather vane <b>tops</b> the building.																																																																																																																												
Synset('submerge.v.02')		I was <b>overwhelmed by</b> work.																																																																																																																												
Synset('bring.v.02')		This may <b>bring</b> you in jail.																																																																																																																												
Synset('orient.v.01')		The house <b>is oriented</b> north.																																																																																																																												
Synset('crusade.v.01')		The liberal party <b>campaigned</b> for reforms.																																																																																																																												
Synset('complement.v.01')		She <b>complements</b> her lectures with jokes.																																																																																																																												
Synset('lavish.v.01')		He was <b>lavished</b> with praise.																																																																																																																												
Synset('rush.v.03')		The new teacher tends to <b>rush</b>.																																																																																																																												
Synset('cover.v.18')		The meat was <b>covered</b> in a fatty gravy.																																																																																																																												
Synset('transform.v.01')		Braque <b>transformed</b> collage into oil.																																																																																																																												
Synset('remove.v.05')		Her optimism <b>removed</b> these worries.																																																																																																																												
Synset('flood.v.03')		The company planned to <b>oversupply</b> the market with tennis shoes.																																																																																																																												
Synset('fuel.v.04')		This could <b>stimulate</b> the debate on creationism.																																																																																																																												
Synset('address.v.04')		They wanted to <b>address</b> criticism or charges at somebody.																																																																																																																												
