meta_term	meta_example	literal_term	literal_example	meta_is_more_emotiona	specificity	common_hyper									
swim	The meat was <b>swimming</b> in a fatty gravy.	cover	The meat was <b>covered</b> in a fatty gravy.	1	2.0	"(Synset('be.v.01'), 1, 1, Synset('swim.v.04'), Synset('cover.v.18'))"									
swim	My brain is <b>swimming</b> after the bottle of champagne.	confuse	My brain is <b>confused</b> after the bottle of champagne.	1	2.0	"(Synset('be.v.01'), 1, 1, Synset('swim.v.03'), Synset('confuse.v.02'))"									
taste	The ex-slave <b>tasted</b> freedom shortly before she died.	experience	The ex-slave <b>experienced</b> freedom shortly before she died.	1	1.0	"(Synset('experience.v.01'), 2, 0, Synset('taste.v.06'), Synset('experience.v.01'))"	"(Synset('know.v.05'), 1, 0, Synset('taste.v.06'), Synset('know.v.05'))"	"(Synset('undergo.v.01'), 3, 1, Synset('taste.v.06'), Synset('experience.v.03'))"	"(Synset('change.v.02'), 4, 1, Synset('taste.v.06'), Synset('have.v.11'))"						
translate	Braque <b>translated</b> collage into oil.	transform	Braque <b>transformed</b> collage into oil.	0	2.0	"(Synset('change.v.01'), 1, 1, Synset('translate.v.02'), Synset('transform.v.01'))"	"(Synset('change.v.01'), 1, 1, Synset('translate.v.02'), Synset('transform.v.02'))"	"(Synset('translate.v.02'), 0, 0, Synset('translate.v.02'), Synset('translate.v.02'))"	"(Synset('change.v.01'), 1, 1, Synset('translate.v.02'), Synset('transform.v.05'))"	"(Synset('change.v.01'), 1, 1, Synset('translate.v.02'), Synset('transform.v.06'))"	"(Synset('change.v.01'), 1, 1, Synset('translate.v.02'), Synset('transform.v.07'))"				
tug	She <b>tugged</b> for years to make a decent living.	labor	She <b>labored</b> for years to make a decent living.	0	2.0	"(Synset('tug.v.02'), 0, 0, Synset('tug.v.02'), Synset('tug.v.02'))"									
want	This piano <b>wants</b> the attention of a competent tuner.	require	This piano <b>requires</b> the attention of a competent tuner.	0	2.0	"(Synset('want.v.02'), 0, 0, Synset('want.v.02'), Synset('want.v.02'))"									
wear	He always <b>wears</b> a smile.	have	He always <b>has</b> a smile.	1	1.0	"(Synset('have.v.02'), 1, 0, Synset('wear.v.03'), Synset('have.v.02'))"									
whistle	Her optimism <b>whistled away</b> these worries.	remove	Her optimism <b>removed</b> these worries.	1	0.0	"(Synset('move.v.02'), 1, 2, Synset('whistle.v.04'), Synset('remove.v.05'))"									
back	Which horse are you <b>backing</b>.	bet	Which horse are you <b>betting</b> on.	1	1.0	"(Synset('bet.v.02'), 1, 0, Synset('bet_on.v.01'), Synset('bet.v.02'))"									
bounce	The ex-boxers job is to <b>bounce</b> people who want to enter this private club.	eject	The ex-boxers job is to <b>eject</b> people who want to enter this private club.	1	1.0	"(Synset('eject.v.01'), 1, 0, Synset('bounce.v.07'), Synset('eject.v.01'))"									
buy	I cant <b>buy</b> this story.	believe	I cant <b>believe</b> this story.	1	1.0	"(Synset('believe.v.01'), 1, 0, Synset('buy.v.05'), Synset('believe.v.01'))"	"(Synset('evaluate.v.02'), 3, 1, Synset('buy.v.05'), Synset('think.v.01'))"	"(Synset('evaluate.v.02'), 3, 2, Synset('buy.v.05'), Synset('believe.v.03'))"	"(Synset('believe.v.01'), 1, 1, Synset('buy.v.05'), Synset('believe.v.04'))"	"(Synset('believe.v.01'), 1, 3, Synset('buy.v.05'), Synset('believe.v.05'))"					
capture	The painting seems to <b>capture</b> the essence of Spring.	represent	The painting seems to <b>represent</b> the essence of Spring.	1	1.0	"(Synset('represent.v.09'), 1, 0, Synset('capture.v.01'), Synset('represent.v.09'))"	"(Synset('re-create.v.01'), 2, 1, Synset('capture.v.01'), Synset('act.v.03'))"	"(Synset('re-create.v.01'), 2, 1, Synset('capture.v.01'), Synset('stage.v.01'))"							
crawl	My skin <b>crawled</b> -- I was terrified.	prickle	My skin <b>prickled</b> -- I was terrified.	1											
deflate	This event could <b>deflate</b> the currency.	reduce	This event could <b>reduce</b> the currency.	1		"(Synset('make.v.03'), 3, 2, Synset('ferment.v.02'), Synset('provoke.v.02'))"									
ferment	Islam is <b>fermenting</b> Africa.	provoke	Islam is <b>provoking</b> Africa.	1	1.0	"(Synset('arouse.v.01'), 2, 0, Synset('ferment.v.02'), Synset('arouse.v.01'))"	"(Synset('make.v.03'), 3, 2, Synset('ferment.v.02'), Synset('provoke.v.02'))"								
flood	The company planned to <b>flood</b> the market with tennis shoes.	oversupply	The company planned to <b>oversupply</b> the market with tennis shoes.	1	2.0	"(Synset('flood.v.03'), 0, 0, Synset('flood.v.03'), Synset('flood.v.03'))"									
fuel	This could <b>fuel</b> the debate on creationism.	stimulate	This could <b>stimulate</b> the debate on creationism.	1	1.0	"(Synset('stimulate.v.03'), 0, 1, Synset('stimulate.v.03'), Synset('fuel.v.04'))"									
glow	Make the peoples hearts <b>glow</b>.	rejoice	Make the peoples hearts <b>rejoiced</b>.	1	2.0	"(Synset('feel.v.01'), 1, 1, Synset('glow.v.04'), Synset('rejoice.v.01'))"	"(Synset('feel.v.01'), 1, 3, Synset('glow.v.04'), Synset('exuberate.v.01'))"	"(Synset('feel.v.01'), 1, 3, Synset('glow.v.04'), Synset('wallow.v.04'))"							
hack	I cant <b>hack</b> it anymore.	cope	I cant <b>cope with</b> it anymore.	1	1.0	"(Synset('cope.v.01'), 1, 0, Synset('hack.v.02'), Synset('cope.v.01'))"									
harmonize	The colors dont <b>harmonize</b>.	match	The colors dont <b>match</b>.	1	1.0	"(Synset('match.v.01'), 1, 0, Synset('harmonize.v.01'), Synset('match.v.01'))"									
infect	The society was <b>infected</b> by racism.	corrupt	The society was <b>corrupted</b> by racism.	1	1.0	"(Synset('corrupt.v.01'), 1, 0, Synset('infect.v.03'), Synset('corrupt.v.01'))"									
juggle	They tried to <b>juggle</b> an account so as to hide a deficit.	falsify	They tried to <b>falsify</b> an account so as to hide a deficit.	1	1.0	"(Synset('fudge.v.01'), 1, 0, Synset('juggle.v.02'), Synset('fudge.v.01'))"									
level	They wanted to <b>level</b> criticism or charges at somebody.	address	They wanted to <b>address</b> criticism or charges at somebody.	1	0.0	"(Synset('aim.v.01'), 1, 2, Synset('level.v.01'), Synset('address.v.04'))"									
lighten	After a glass of wine he <b>lightened</b> up a bit.	cheer	After a glass of wine he <b>cheered</b> up a bit.	1	1.0	"(Synset('cheer.v.04'), 1, 0, Synset('lighten.v.03'), Synset('cheer.v.04'))"									
mount	They wanted to <b>mount</b> a theater production.	organize	They wanted to <b>organize</b> a theater production.	1	1.0	"(Synset('make.v.03'), 4, 1, Synset('mount.v.07'), Synset('form.v.01'))"	"(Synset('organize.v.05'), 1, 0, Synset('mount.v.07'), Synset('organize.v.05'))"								
poison	You should never <b>poison</b> someone's mind.	corrupt	You should never <b>corrupt</b> someone's mind.	1	1.0	"(Synset('corrupt.v.01'), 1, 0, Synset('poison.v.01'), Synset('corrupt.v.01'))"									
sow	You should not <b>sow</b> suspicion or beliefs.	instil	You should not <b>instill</b> suspicion or beliefs.	1											
spell	Im afraid this <b>spells</b> trouble!	mean	Im afraid this <b>means</b> trouble!	1	1.0	"(Synset('mean.v.01'), 1, 0, Synset('spell.v.02'), Synset('mean.v.01'))"									
square	This idea <b>squares</b> with the other one.	match up	This idea <b>matches up</b> with the other one.	1											
twist	Dont <b>twist</b> my words.	misinterpret	Dont <b>misinterpret</b> my words.	1											
wallow	You should <b>wallow</b> in your success!	delight	You should <b>delight</b> in your success!	1	1.0	"(Synset('delight.v.02'), 1, 0, Synset('wallow.v.05'), Synset('delight.v.02'))"									
